linkID,pollutantID,sourceTypeID,ratePerDistance
4,112,31,0.0157924
4,115,31,0.00262681
4,118,31,0.0487235
5,1,31,3.22945
5,2,31,119.905
5,3,31,9.20019
5,90,31,13117.4
5,91,31,182400
5,110,31,0.0879474
5,112,31,0.0392239
5,115,31,0.00262681
5,118,31,0.0487235
6,1,31,3.9574
6,2,31,167.748
6,3,31,15.4269
6,90,31,16613.4
6,91,31,231002
6,110,31,0.114438
6,112,31,0.0657147
6,115,31,0.00262681
6,118,31,0.0487235
7,1,31,4.785
7,2,31,219.14
7,3,31,22.7656
7,90,31,20022.2
7,91,31,278392
7,110,31,0.136626
7,112,31,0.0879022
7,115,31,0.00262681
7,118,31,0.0487235
8,1,31,6.38295
8,2,31,310.633
8,3,31,35.1343
8,90,31,24922.5
8,91,31,346511
8,110,31,0.225605
8,112,31,0.176882
8,115,31,0.00262681
8,118,31,0.0487235
9,1,31,2.74982
9,2,31,89.4817
9,3,31,5.13521
9,90,31,9909.13
9,91,31,137802
9,110,31,0.0625755
9,112,31,0.0138521
9,115,31,0.00262681
9,118,31,0.0487235
10,1,31,2.69273
10,2,31,108.979
10,3,31,7.27152
10,90,31,10528.2
10,91,31,146404
10,110,31,0.0663121
10,112,31,0.0175886
10,115,31,0.00262681
10,118,31,0.0487235
11,1,31,3.11919
11,2,31,137.584
11,3,31,10.5518
11,90,31,12969.7
11,91,31,180340
11,110,31,0.0747697
11,112,31,0.0260462
11,115,31,0.00262681
11,118,31,0.0487235
12,1,31,4.0901
12,2,31,186.199
12,3,31,17.1551
12,90,31,16717.9
12,91,31,232449
12,110,31,0.0903117
12,112,31,0.0415883
12,115,31,0.00262681
12,118,31,0.0487235
13,1,31,4.4845
13,2,31,220.998
13,3,31,24.1708
13,90,31,21337.8
13,91,31,296687
13,110,31,0.107112
13,112,31,0.0583881
13,115,31,0.00262681
13,118,31,0.0487235
14,1,31,6.09321
14,2,31,314.236
14,3,31,35.8882
14,90,31,28918.4
14,91,31,402085
14,110,31,0.133788
